table,data
label,"{""concept_id"": ""body_logic"", ""concept_name"": ""Character Body Logic"", ""type"": ""element"", ""definition"": ""How a character’s body moves and occupies space—posture, gesture, breath, gaze, pace—revealing inner state, history, and relationships in the moment."", ""scope_notes"": ""Dynamic and context-dependent; dials from Low→Medium→High strength. Use to show rather than tell; evolve across arcs."", ""axes"": ""channel|strength"", ""axis_values"": ""posture|gesture|gaze|hands|breath_phys|space_use|reactivity | low|medium|high"", ""prerequisites"": """", ""pairs_well_with"": ""dialogue|beats|subtext|tension|setting"", ""conflicts_with"": ""cliche_gestures|floating_choreography|mismatch|over_description|inconsistency"", ""positive_examples_ref"": ""ex_body_logic_*"", ""non_examples_ref"": ""ex_body_logic_weak_*"", ""source_file"": ""Character Body Logic.md"", ""source_md5"": ""8a87fe149ae96138ab1d5d457345e6ce"", ""last_modified_iso"": ""2025-09-30T18:18:43.749566Z""}"
label,"{""concept_id"": ""body_logic"", ""signal_id"": ""sig_posture_baseline"", ""signal_type"": ""textual_cue"", ""axis_value"": ""posture"", ""description"": ""Baseline carriage shifts under pressure (tall/compact, open/closed)."", ""detection_hint"": ""Spine, shoulders, head tilt words; transitions within scene."", ""false_positive_risks"": ""Reading social status from posture alone; cultural variance."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Body Logic.md"", ""source_md5"": ""8a87fe149ae96138ab1d5d457345e6ce"", ""last_modified_iso"": ""2025-09-30T18:18:43.749566Z""}"
label,"{""concept_id"": ""body_logic"", ""signal_id"": ""sig_gesture_specific"", ""signal_type"": ""textual_cue"", ""axis_value"": ""gesture"", ""description"": ""Specific, repeatable gestures tied to motive/history."", ""detection_hint"": ""Named habits with context: ring twist, sleeve roll, frame straightening."", ""false_positive_risks"": ""Generic filler (‘she fidgets’) with no link."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Body Logic.md"", ""source_md5"": ""8a87fe149ae96138ab1d5d457345e6ce"", ""last_modified_iso"": ""2025-09-30T18:18:43.749566Z""}"
label,"{""concept_id"": ""body_logic"", ""signal_id"": ""sig_gaze_scope"", ""signal_type"": ""textual_cue"", ""axis_value"": ""gaze"", ""description"": ""Eye behavior signals attention, avoidance, threat, attraction."", ""detection_hint"": ""Holds, flicks, flinches, triangulation; avoids/locks."", ""false_positive_risks"": ""‘He looked’ with no function."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Body Logic.md"", ""source_md5"": ""8a87fe149ae96138ab1d5d457345e6ce"", ""last_modified_iso"": ""2025-09-30T18:18:43.749566Z""}"
label,"{""concept_id"": ""body_logic"", ""signal_id"": ""sig_hands_tell"", ""signal_type"": ""textual_cue"", ""axis_value"": ""hands"", ""description"": ""Hands leak truth: tremor, grip, micro-movements."", ""detection_hint"": ""Object interaction (cup, keys, photo) with intent."", ""false_positive_risks"": ""Random prop fidget with no payoff."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Body Logic.md"", ""source_md5"": ""8a87fe149ae96138ab1d5d457345e6ce"", ""last_modified_iso"": ""2025-09-30T18:18:43.749566Z""}"
label,"{""concept_id"": ""body_logic"", ""signal_id"": ""sig_breath_phys"", ""signal_type"": ""textual_cue"", ""axis_value"": ""breath_phys"", ""description"": ""Breath and physiological tells modulate tension."", ""detection_hint"": ""Hitch, shallow, held, cadence shifts, sweat, swallow."", ""false_positive_risks"": ""Medicalized detail that derails tone."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Body Logic.md"", ""source_md5"": ""8a87fe149ae96138ab1d5d457345e6ce"", ""last_modified_iso"": ""2025-09-30T18:18:43.749566Z""}"
label,"{""concept_id"": ""body_logic"", ""signal_id"": ""sig_space_use"", ""signal_type"": ""textual_cue"", ""axis_value"": ""space_use"", ""description"": ""Use of space/proximity defines power and relationship."", ""detection_hint"": ""Enter, encroach, retreat, block, mirror; seat choice."", ""false_positive_risks"": ""Stagey blocking divorced from POV."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Body Logic.md"", ""source_md5"": ""8a87fe149ae96138ab1d5d457345e6ce"", ""last_modified_iso"": ""2025-09-30T18:18:43.749566Z""}"
label,"{""concept_id"": ""body_logic"", ""signal_id"": ""sig_reactivity_tempo"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""reactivity"", ""description"": ""Timing/tempo: beats land faster/slower with pressure."", ""detection_hint"": ""Pause, overlap, interruption; yes‑but / no‑and cadence."", ""false_positive_risks"": ""Same tempo regardless of stakes."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Body Logic.md"", ""source_md5"": ""8a87fe149ae96138ab1d5d457345e6ce"", ""last_modified_iso"": ""2025-09-30T18:18:43.749566Z""}"
label,"{""concept_id"": ""body_logic"", ""signal_id"": ""sig_strength_low"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""low"", ""description"": ""Bare gesture or vague label; thin link to emotion/context."", ""detection_hint"": ""One small cue; placeholder usable on draft."", ""false_positive_risks"": ""Feels like checkbox detail; cliché."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Body Logic.md"", ""source_md5"": ""8a87fe149ae96138ab1d5d457345e6ce"", ""last_modified_iso"": ""2025-09-30T18:18:43.749566Z""}"
label,"{""concept_id"": ""body_logic"", ""signal_id"": ""sig_strength_med"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""medium"", ""description"": ""Clear, specific cues integrated with dialogue/action."", ""detection_hint"": ""2–3 cues spaced; supports subtext."", ""false_positive_risks"": ""Overuse that stalls pacing."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Body Logic.md"", ""source_md5"": ""8a87fe149ae96138ab1d5d457345e6ce"", ""last_modified_iso"": ""2025-09-30T18:18:43.749566Z""}"
label,"{""concept_id"": ""body_logic"", ""signal_id"": ""sig_strength_high"", ""signal_type"": ""outcome_change"", ""axis_value"": ""high"", ""description"": ""Layered, evolving physicality under pressure; contradicts or amplifies words; marks turning point."", ""detection_hint"": ""Cues change within scene; consequence or reframe."", ""false_positive_risks"": ""Purple choreography without causality."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Body Logic.md"", ""source_md5"": ""8a87fe149ae96138ab1d5d457345e6ce"", ""last_modified_iso"": ""2025-09-30T18:18:43.749566Z""}"
label,"{""concept_id"": ""body_logic"", ""signal_id"": ""sig_pattern_mirror"", ""signal_type"": ""structural_pattern"", ""axis_value"": """", ""description"": ""Mirror emotion with body for clarity."", ""detection_hint"": ""Match intensity to mood; anchor beats."", ""false_positive_risks"": ""One-note mirroring with no nuance."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Body Logic.md"", ""source_md5"": ""8a87fe149ae96138ab1d5d457345e6ce"", ""last_modified_iso"": ""2025-09-30T18:18:43.749566Z""}"
label,"{""concept_id"": ""body_logic"", ""signal_id"": ""sig_pattern_contrast"", ""signal_type"": ""structural_pattern"", ""axis_value"": """", ""description"": ""Contrast body vs words for subtext."", ""detection_hint"": ""Calm voice, tense fists; steady voice with tremor."", ""false_positive_risks"": ""Random mismatch that confuses stakes."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Body Logic.md"", ""source_md5"": ""8a87fe149ae96138ab1d5d457345e6ce"", ""last_modified_iso"": ""2025-09-30T18:18:43.749566Z""}"
label,"{""concept_id"": ""body_logic"", ""signal_id"": ""sig_pattern_escalate"", ""signal_type"": ""structural_pattern"", ""axis_value"": """", ""description"": ""Escalate cues as stakes rise; de-escalate for breath."", ""detection_hint"": ""Introduce more specific/layered cues."", ""false_positive_risks"": ""Escalation without scene pressure."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Body Logic.md"", ""source_md5"": ""8a87fe149ae96138ab1d5d457345e6ce"", ""last_modified_iso"": ""2025-09-30T18:18:43.749566Z""}"
