table,data
label,"{""concept_id"": ""character_description"", ""concept_name"": ""Character Description"", ""type"": ""element"", ""definition"": ""The selective physical and behavioral details that let readers see and feel a person on the page."", ""scope_notes"": ""Prioritize meaningful, mood-carrying details tied to action; reveal in layers; integrate body logic; strength dials low→medium→high."", ""axes"": ""focus|strength"", ""axis_values"": ""appearance|body_logic|style|signature_detail|symbolic | low|medium|high"", ""prerequisites"": """", ""pairs_well_with"": ""body_logic|voice|backstory|tension|setting"", ""conflicts_with"": ""laundry_list|cliche|static_snapshot|tone_mismatch|overwriting"", ""positive_examples_ref"": ""ex_char_desc_*"", ""non_examples_ref"": ""ex_char_desc_weak_*"", ""source_file"": ""Character Description.md"", ""source_md5"": ""e0a0047460506e098fa0335da2c63607"", ""last_modified_iso"": ""2025-09-30T18:26:41.009892Z""}"
label,"{""concept_id"": ""character_description"", ""signal_id"": ""sig_meaningful_select"", ""signal_type"": ""textual_cue"", ""axis_value"": ""signature_detail"", ""description"": ""One or two specific details carry mood or history."", ""detection_hint"": ""Charged objects, scars, wear patterns, kept/avoided items."", ""false_positive_risks"": ""Novelty props with no story link."", ""minimal_example"": ""A frayed cuff where a ring used to rub."", ""counterexample"": ""A random hat detail that never matters."", ""source_file"": ""Character Description.md"", ""source_md5"": ""e0a0047460506e098fa0335da2c63607"", ""last_modified_iso"": ""2025-09-30T18:26:41.009892Z""}"
label,"{""concept_id"": ""character_description"", ""signal_id"": ""sig_tied_to_action"", ""signal_type"": ""textual_cue"", ""axis_value"": ""body_logic"", ""description"": ""Description attached to movement/choice, not static listing."", ""detection_hint"": ""Gestures + decisions in same breath."", ""false_positive_risks"": ""Standing-still inventories."", ""minimal_example"": ""She tightens her jacket, fingers shaking, and steps through."", ""counterexample"": ""She wears a black jacket."", ""source_file"": ""Character Description.md"", ""source_md5"": ""e0a0047460506e098fa0335da2c63607"", ""last_modified_iso"": ""2025-09-30T18:26:41.009892Z""}"
label,"{""concept_id"": ""character_description"", ""signal_id"": ""sig_emotional_tone"", ""signal_type"": ""textual_cue"", ""axis_value"": ""symbolic"", ""description"": ""Details evoke emotion/foreshadowing beyond looks."", ""detection_hint"": ""Word choices that carry dread, tenderness, pride."", ""false_positive_risks"": ""Pretty words with no effect."", ""minimal_example"": ""His smile sits too wide for the room."", ""counterexample"": ""“He smiled.”"", ""source_file"": ""Character Description.md"", ""source_md5"": ""e0a0047460506e098fa0335da2c63607"", ""last_modified_iso"": ""2025-09-30T18:26:41.009892Z""}"
label,"{""concept_id"": ""character_description"", ""signal_id"": ""sig_avoid_cliche"", ""signal_type"": ""textual_cue"", ""axis_value"": ""style"", ""description"": ""Fresh, specific phrasing over stock traits."", ""detection_hint"": ""Concrete nouns, verbs; avoid generic ‘blue eyes/tall’."", ""false_positive_risks"": ""Stereotype checklists."", ""minimal_example"": ""Eyes like rain on tin roofs."", ""counterexample"": ""Long blonde hair, blue eyes."", ""source_file"": ""Character Description.md"", ""source_md5"": ""e0a0047460506e098fa0335da2c63607"", ""last_modified_iso"": ""2025-09-30T18:26:41.009892Z""}"
label,"{""concept_id"": ""character_description"", ""signal_id"": ""sig_layered_reveal"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""appearance"", ""description"": ""Spread details over beats and scenes; evolve with mood."", ""detection_hint"": ""Different moments reveal different facets."", ""false_positive_risks"": ""One big dump at page one."", ""minimal_example"": ""We notice the bitten nails only when the key sticks."", ""counterexample"": ""A page of head-to-toe at entrance."", ""source_file"": ""Character Description.md"", ""source_md5"": ""e0a0047460506e098fa0335da2c63607"", ""last_modified_iso"": ""2025-09-30T18:26:41.009892Z""}"
label,"{""concept_id"": ""character_description"", ""signal_id"": ""sig_body_language"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""body_logic"", ""description"": ""Posture, gesture, pace, breath add character info."", ""detection_hint"": ""Show confidence, fear, control via body cues."", ""false_positive_risks"": ""Eye-color focus only."", ""minimal_example"": ""He fills the doorway but sits on the edge of his chair."", ""counterexample"": ""He is tall."", ""source_file"": ""Character Description.md"", ""source_md5"": ""e0a0047460506e098fa0335da2c63607"", ""last_modified_iso"": ""2025-09-30T18:26:41.009892Z""}"
label,"{""concept_id"": ""character_description"", ""signal_id"": ""sig_match_tone"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""style"", ""description"": ""Description style matches genre/scene tone."", ""detection_hint"": ""Sharp/sparse for thriller; lush/warm for romance."", ""false_positive_risks"": ""Tone clash or purple passages."", ""minimal_example"": ""Knife-clean lines in a chase scene."", ""counterexample"": ""Flowery paragraph mid-fight."", ""source_file"": ""Character Description.md"", ""source_md5"": ""e0a0047460506e098fa0335da2c63607"", ""last_modified_iso"": ""2025-09-30T18:26:41.009892Z""}"
label,"{""concept_id"": ""character_description"", ""signal_id"": ""sig_strength_low"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""low"", ""description"": ""Bare, functional labels; minimal emotional carry."", ""detection_hint"": ""One bland trait or silhouette."", ""false_positive_risks"": ""Confusion/disconnection risk."", ""minimal_example"": ""‘Tall man in a suit.’"", ""counterexample"": """", ""source_file"": ""Character Description.md"", ""source_md5"": ""e0a0047460506e098fa0335da2c63607"", ""last_modified_iso"": ""2025-09-30T18:26:41.009892Z""}"
label,"{""concept_id"": ""character_description"", ""signal_id"": ""sig_strength_med"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""medium"", ""description"": ""A few vivid, tied-to-action details that stick."", ""detection_hint"": ""2–3 details + body cue spread naturally."", ""false_positive_risks"": ""Occasional cliché."", ""minimal_example"": ""Scuffed boots, paint under nails, a careful smile."", ""counterexample"": """", ""source_file"": ""Character Description.md"", ""source_md5"": ""e0a0047460506e098fa0335da2c63607"", ""last_modified_iso"": ""2025-09-30T18:26:41.009892Z""}"
