table,data
label,"{""concept_id"": ""role_dynamics"", ""concept_name"": ""Character Role Dynamics"", ""type"": ""element"", ""definition"": ""How roles in a cast (hero, villain, mentor, sidekick, foil, symbolic figures) balance focus, spark in scenes, and evolve through archetype variations to drive plot and theme."", ""scope_notes"": ""Operate across three pillars from the doc: balance & focus, interactions & scene dynamics, archetypes & variations. Intensity dials low→medium→high."", ""axes"": ""pillar|intensity"", ""axis_values"": ""balance_focus|interactions_scene|archetypes_variations | low|medium|high"", ""prerequisites"": """", ""pairs_well_with"": ""identity|drive|decision_style|backstory|change|theme"", ""conflicts_with"": ""flat_roles|filler_characters|resetting_conflicts|stereotype_static"", ""positive_examples_ref"": ""ex_role_dyn_*"", ""non_examples_ref"": ""ex_role_dyn_weak_*"", ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""concept_id"": ""role_dynamics"", ""signal_id"": ""sig_balance_focus"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""balance_focus"", ""description"": ""Narrative weight is distributed intentionally: spotlight shifts, roles matter without overcrowding."", ""detection_hint"": ""Scene time and plot beats reflect planned weights; supporting roles deepen leads."", ""false_positive_risks"": ""One role hogs focus or others feel like props."", ""minimal_example"": ""Ensemble shares beats while pursuing a single goal; sidekick’s beat reframes hero."", ""counterexample"": """", ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""concept_id"": ""role_dynamics"", ""signal_id"": ""sig_interactions_scene"", ""signal_type"": ""textual_cue"", ""axis_value"": ""interactions_scene"", ""description"": ""Role collisions power scenes (tension, humor, heart) and serve scene goals."", ""detection_hint"": ""Hero–villain standoffs, mentor–student calibrations, foil sparks; each advances plot/character/theme."", ""false_positive_risks"": ""Bickering or banter that changes nothing."", ""minimal_example"": ""A mentor’s calm diffuses chaos; villain’s taunt sharpens the hero’s choice."", ""counterexample"": """", ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""concept_id"": ""role_dynamics"", ""signal_id"": ""sig_archetypes_variations"", ""signal_type"": ""textual_cue"", ""axis_value"": ""archetypes_variations"", ""description"": ""Classic roles are twisted (reluctant mentor, idealist villain, rebellious sidekick) to fit tone and surprise."", ""detection_hint"": ""Specific tweaks align with world/genre; expectations subverted with purpose."", ""false_positive_risks"": ""Cosmetic quirks that don’t affect function."", ""minimal_example"": ""Reluctant, flawed mentor who creates conflict yet grows the hero."", ""counterexample"": """", ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""concept_id"": ""role_dynamics"", ""signal_id"": ""sig_intensity_low"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""low"", ""description"": ""Subtle dynamics with quiet shifts and gentle contrasts; fits introspective stories."", ""detection_hint"": ""Understated dialogue, shared routines; minor spotlight moves."", ""false_positive_risks"": ""Flatness disguised as subtlety."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""concept_id"": ""role_dynamics"", ""signal_id"": ""sig_intensity_med"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""medium"", ""description"": ""Balanced ensemble energy; noticeable contrasts and role tweaks; subplots carry weight."", ""detection_hint"": ""Clear role contrasts; moderate stakes in scene conflicts."", ""false_positive_risks"": ""Busy but inconsequential motion."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""concept_id"": ""role_dynamics"", ""signal_id"": ""sig_intensity_high"", ""signal_type"": ""outcome_change"", ""axis_value"": ""high"", ""description"": ""Explosive dynamics and bold reinventions that reshape plot/theme; role reversals at climaxes."", ""detection_hint"": ""Showdowns, betrayals, public choices; irreversible consequences."", ""false_positive_risks"": ""Spectacle with reset next scene."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""concept_id"": ""role_dynamics"", ""misconception_id"": ""flat_roles"", ""description"": ""Static archetypes never affect each other or the plot."", ""tells"": ""Cast reads like bios, not forces."", ""likely_causes"": ""Over-indexing on labels."", ""corrective_feedback"": ""Tie each role to a decision that moves plot/theme."", ""micro_drill"": ""Add one choice per role that costs something."", ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""concept_id"": ""role_dynamics"", ""misconception_id"": ""filler_characters"", ""description"": ""Extra roles exist without purpose."", ""tells"": ""Side characters vanish for chapters; no consequences."", ""likely_causes"": ""Padding for flavor."", ""corrective_feedback"": ""Bind every filler to a plot beat or theme echo."", ""micro_drill"": ""Repurpose or cut one filler via a new beat."", ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""concept_id"": ""role_dynamics"", ""misconception_id"": ""resetting_conflicts"", ""description"": ""Clashes dissolve without carry-over."", ""tells"": ""Status quo returns immediately."", ""likely_causes"": ""Avoiding complexity."", ""corrective_feedback"": ""Let conflict echo across scenes."", ""micro_drill"": ""Carry one unresolved clash forward two beats."", ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""concept_id"": ""role_dynamics"", ""misconception_id"": ""stereotype_static"", ""description"": ""Archetype presented without variation."", ""tells"": ""Predictable, dull roles."", ""likely_causes"": ""Reliance on tropes."", ""corrective_feedback"": ""Twist the role to suit world/tone."", ""micro_drill"": ""Draft one variation that changes a scene outcome."", ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""blueprint_id"": ""bp_role_balance_weight_map"", ""concept_id"": ""role_dynamics"", ""cognitive_goal"": ""analyze"", ""task_type"": ""map"", ""prompt_template"": ""Assign weights to roles (e.g., hero 40, villain 30, mentor 15, sidekick 15) and check scenes against the target balance."", ""expected_features"": ""Weights reflected in beat distribution; no role feels like filler."", ""scoring_method"": ""rubric"", ""rubric_levels"": {""Exceeds"": ""Weights align with scenes; cuts/adds justified"", ""Meets"": ""Mostly aligned"", ""Developing"": ""Lopsided with no fix""}, ""distractor_strategy"": ""Trap: giving every role equal time regardless of function."", ""hint_steps"": ""1) Set weights 2) Sample scenes 3) Adjust beats"", ""variation_axes"": ""balance|beats"", ""difficulty"": 2, ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""blueprint_id"": ""bp_role_scene_collision"", ""concept_id"": ""role_dynamics"", ""cognitive_goal"": ""identify"", ""task_type"": ""classify"", ""prompt_template"": ""For a scene, label the dominant interaction (hero–villain, mentor–student, hero–foil, etc.) and state the scene goal it serves."", ""expected_features"": ""Interaction label matches evidence; goal advances plot/character/theme."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Sharp label + clear goal tie"", ""Meets"": ""Reasonable label/goal"", ""Developing"": ""Vague""}, ""distractor_strategy"": ""Trap: banter with no function."", ""hint_steps"": ""1) Name roles 2) Quote the spark 3) State the goal"", ""variation_axes"": ""interaction|goal"", ""difficulty"": 2, ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""blueprint_id"": ""bp_role_variation_twist"", ""concept_id"": ""role_dynamics"", ""cognitive_goal"": ""revise"", ""task_type"": ""transform"", ""prompt_template"": ""Twist one archetype (e.g., mentor→reluctant, villain→idealist) and rewrite the scene to show the change in function."", ""expected_features"": ""Variation affects choices and stakes, not cosmetic flavor."", ""scoring_method"": ""rubric"", ""rubric_levels"": {""Exceeds"": ""Twist changes outcome"", ""Meets"": ""Twist visible; some effect"", ""Developing"": ""Cosmetic only""}, ""distractor_strategy"": ""Trap: quirky mannerisms without function."", ""hint_steps"": ""1) Choose twist 2) Change a choice 3) Land a consequence"", ""variation_axes"": ""variation|stakes"", ""difficulty"": 3, ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""blueprint_id"": ""bp_role_conflict_carry"", ""concept_id"": ""role_dynamics"", ""cognitive_goal"": ""diagnose"", ""task_type"": ""spot_fix"", ""prompt_template"": ""Pick a conflict and script how its consequences carry into 2 later scenes."", ""expected_features"": ""Echoed tension with evolving stakes; no reset."", ""scoring_method"": ""pattern"", ""rubric_levels"": {""Exceeds"": ""Carry-through reshapes later beats"", ""Meets"": ""Some echo"", ""Developing"": ""Reset""}, ""distractor_strategy"": ""Trap: instant forgiveness."", ""hint_steps"": ""1) Name wound 2) Add echo 3) Raise cost"", ""variation_axes"": ""conflict|echo"", ""difficulty"": 2, ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""example_id"": ""ex_role_dyn_1"", ""concept_id"": ""role_dynamics"", ""axis_value"": ""balance_focus|medium"", ""label"": ""strong"", ""text"": ""Ensemble heist splits spotlight; hacker’s beat solves a problem the hero can’t."", ""context_tags"": ""ensemble|function"", ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""example_id"": ""ex_role_dyn_2"", ""concept_id"": ""role_dynamics"", ""axis_value"": ""interactions_scene|high"", ""label"": ""strong"", ""text"": ""Villain’s quiet taunt forces hero to choose mercy or speed in the climax."", ""context_tags"": ""stakes|choice"", ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""example_id"": ""ex_role_dyn_3"", ""concept_id"": ""role_dynamics"", ""axis_value"": ""archetypes_variations|medium"", ""label"": ""strong"", ""text"": ""Reluctant mentor who withholds help to test resolve, altering the plan."", ""context_tags"": ""subversion|mentor"", ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""example_id"": ""ex_role_dyn_weak_1"", ""concept_id"": ""role_dynamics"", ""axis_value"": """", ""label"": ""weak"", ""text"": ""Sidekick cracks jokes that never affect outcomes."", ""context_tags"": ""filler"", ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
label,"{""example_id"": ""ex_role_dyn_weak_2"", ""concept_id"": ""role_dynamics"", ""axis_value"": """", ""label"": ""weak"", ""text"": ""Big hero–villain fight; next scene nothing has changed."", ""context_tags"": ""reset"", ""source_file"": ""Character Role Dynamics.md"", ""source_md5"": ""5001570f66f92bf3b039e8068b0e8451"", ""last_modified_iso"": ""2025-09-30T18:43:26.691489Z""}"
