table,data
label,"{""concept_id"": ""role_interactions"", ""concept_name"": ""Character Role Interactions"", ""type"": ""element"", ""definition"": ""How roles collide—conflict, cooperation, challenge, and growth—driving plot, revealing character, and carrying theme."", ""scope_notes"": ""Four facets: Pairs (classic duos), Webs (triangles/teams), Shifts (role changes), Tools (planning & scene craft). Intensity dials low→medium→high."", ""axes"": ""facet|intensity"", ""axis_values"": ""pairs|webs|shifts|tools | low|medium|high"", ""prerequisites"": """", ""pairs_well_with"": ""identity|drive|motivation|decision_style|role_dynamics|theme"", ""conflicts_with"": ""flat_roles|aimless_scenes|resetting_conflicts|static_boxes"", ""positive_examples_ref"": ""ex_role_interactions_*"", ""non_examples_ref"": ""ex_role_interactions_weak_*"", ""source_file"": ""Character Role Interactions.md"", ""source_md5"": ""f1a51e5106d3c16bc1d7ddb90d3b4f1d"", ""last_modified_iso"": ""2025-09-30T18:45:48.500670Z""}"
label,"{""concept_id"": ""role_interactions"", ""signal_id"": ""sig_pair_hero_villain"", ""signal_type"": ""textual_cue"", ""axis_value"": ""pairs"", ""description"": ""Hero vs Villain: opposition personal and thematic; villain blocks the hero’s need, not just the task."", ""detection_hint"": ""Look for value clashes and targeted obstacles that force growth."", ""false_positive_risks"": ""Fights with no personal stakes or theme."", ""minimal_example"": ""Harry vs Voldemort; conflict over survival and identity."", ""counterexample"": """", ""source_file"": ""Character Role Interactions.md"", ""source_md5"": ""f1a51e5106d3c16bc1d7ddb90d3b4f1d"", ""last_modified_iso"": ""2025-09-30T18:45:48.500670Z""}"
label,"{""concept_id"": ""role_interactions"", ""signal_id"": ""sig_pair_hero_mentor"", ""signal_type"": ""textual_cue"", ""axis_value"": ""pairs"", ""description"": ""Hero & Mentor: guidance plus friction; tough lessons that force responsibility."", ""detection_hint"": ""Mentor challenges; refusal or delay that matures the hero."", ""false_positive_risks"": ""Pure advice-dump with instant compliance."", ""minimal_example"": ""Frodo & Gandalf; help + responsibility."", ""counterexample"": """", ""source_file"": ""Character Role Interactions.md"", ""source_md5"": ""f1a51e5106d3c16bc1d7ddb90d3b4f1d"", ""last_modified_iso"": ""2025-09-30T18:45:48.500670Z""}"
label,"{""concept_id"": ""role_interactions"", ""signal_id"": ""sig_pair_hero_sidekick"", ""signal_type"": ""textual_cue"", ""axis_value"": ""pairs"", ""description"": ""Hero & Sidekick: support/contrast; sidekick has their own wants and flaws that complicate scenes."", ""detection_hint"": ""Grounding, emotional counterweights, practical aid with cost."", ""false_positive_risks"": ""Comic relief with no effect."", ""minimal_example"": ""Holmes & Watson; grounding + challenge."", ""counterexample"": """", ""source_file"": ""Character Role Interactions.md"", ""source_md5"": ""f1a51e5106d3c16bc1d7ddb90d3b4f1d"", ""last_modified_iso"": ""2025-09-30T18:45:48.500670Z""}"
label,"{""concept_id"": ""role_interactions"", ""signal_id"": ""sig_pair_hero_foil"", ""signal_type"": ""textual_cue"", ""axis_value"": ""pairs"", ""description"": ""Hero & Foil: contrasting strategies/values create dilemmas."", ""detection_hint"": ""Setups where the foil’s choice tempts or challenges the hero."", ""false_positive_risks"": ""Surface-level contrast only."", ""minimal_example"": ""Katniss & Peeta; toughness vs softness."", ""counterexample"": """", ""source_file"": ""Character Role Interactions.md"", ""source_md5"": ""f1a51e5106d3c16bc1d7ddb90d3b4f1d"", ""last_modified_iso"": ""2025-09-30T18:45:48.500670Z""}"
label,"{""concept_id"": ""role_interactions"", ""signal_id"": ""sig_pair_villain_minions"", ""signal_type"": ""textual_cue"", ""axis_value"": ""pairs"", ""description"": ""Villain & Minions: loyalty/fear dynamics reveal villain’s nature."", ""detection_hint"": ""Glances, orders, betrayals inside the crew."", ""false_positive_risks"": ""Anonymous henchmen furniture."", ""minimal_example"": ""Joker with his gang; chaos + leadership shows threat."", ""counterexample"": """", ""source_file"": ""Character Role Interactions.md"", ""source_md5"": ""f1a51e5106d3c16bc1d7ddb90d3b4f1d"", ""last_modified_iso"": ""2025-09-30T18:45:48.500670Z""}"
label,"{""concept_id"": ""role_interactions"", ""signal_id"": ""sig_web_triangle"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""webs"", ""description"": ""Triangles (e.g., love/loyalty/rivalry) force choice and escalate stakes."", ""detection_hint"": ""Competing pulls visible; aftermath changes relationships."", ""false_positive_risks"": ""Melodrama with zero consequence."", ""minimal_example"": ""Hero–love interest–rival triangle that drives a decision."", ""counterexample"": """", ""source_file"": ""Character Role Interactions.md"", ""source_md5"": ""f1a51e5106d3c16bc1d7ddb90d3b4f1d"", ""last_modified_iso"": ""2025-09-30T18:45:48.500670Z""}"
label,"{""concept_id"": ""role_interactions"", ""signal_id"": ""sig_web_team"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""webs"", ""description"": ""Teams/ensembles: allies clash/align; sub-roles inside group matter to outcomes."", ""detection_hint"": ""Conflict matrix within the team; alliances shift."", ""false_positive_risks"": ""Everyone agrees; no internal friction."", ""minimal_example"": ""Avengers-style clashes shaping plans."", ""counterexample"": """", ""source_file"": ""Character Role Interactions.md"", ""source_md5"": ""f1a51e5106d3c16bc1d7ddb90d3b4f1d"", ""last_modified_iso"": ""2025-09-30T18:45:48.500670Z""}"
label,"{""concept_id"": ""role_interactions"", ""signal_id"": ""sig_shift_role_change"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""shifts"", ""description"": ""Role shifts (sidekick→hero, mentor fall, villain redemption) are seeded and costly."", ""detection_hint"": ""Pre-signal cracks; hinge event; new role affects plot/theme."", ""false_positive_risks"": ""Whiplash flips for novelty."", ""minimal_example"": ""Walter White’s slide hero→villain."", ""counterexample"": """", ""source_file"": ""Character Role Interactions.md"", ""source_md5"": ""f1a51e5106d3c16bc1d7ddb90d3b4f1d"", ""last_modified_iso"": ""2025-09-30T18:45:48.500670Z""}"
label,"{""concept_id"": ""role_interactions"", ""signal_id"": ""sig_tool_map"", ""signal_type"": ""textual_cue"", ""axis_value"": ""tools"", ""description"": ""Relationship map built early to spot gaps/overlaps."", ""detection_hint"": ""Lines of alliance/conflict drawn before drafting."", ""false_positive_risks"": ""Writing blind to role functions."", ""minimal_example"": ""Simple cast graph with arrows for tension/support."", ""counterexample"": """", ""source_file"": ""Character Role Interactions.md"", ""source_md5"": ""f1a51e5106d3c16bc1d7ddb90d3b4f1d"", ""last_modified_iso"": ""2025-09-30T18:45:48.500670Z""}"
label,"{""concept_id"": ""role_interactions"", ""signal_id"": ""sig_tool_scene_goal"", ""signal_type"": ""textual_cue"", ""axis_value"": ""tools"", ""description"": ""Scenes chosen/blocked around role collisions that serve a clear goal."", ""detection_hint"": ""Label the pair/web and state the scene’s purpose."", ""false_positive_risks"": ""Banter scenes that change nothing."", ""minimal_example"": ""Mentor–hero disagreement that forces a new plan."", ""counterexample"": """", ""source_file"": ""Character Role Interactions.md"", ""source_md5"": ""f1a51e5106d3c16bc1d7ddb90d3b4f1d"", ""last_modified_iso"": ""2025-09-30T18:45:48.500670Z""}"
label,"{""concept_id"": ""role_interactions"", ""signal_id"": ""sig_tool_theme"", ""signal_type"": ""textual_cue"", ""axis_value"": ""tools"", ""description"": ""Role clashes echo theme (e.g., freedom vs control)."", ""detection_hint"": ""Identify which interaction embodies the core message."", ""false_positive_risks"": ""Action divorced from theme."", ""minimal_example"": ""Neo vs Smith as theme engine."", ""counterexample"": """", ""source_file"": ""Character Role Interactions.md"", ""source_md5"": ""f1a51e5106d3c16bc1d7ddb90d3b4f1d"", ""last_modified_iso"": ""2025-09-30T18:45:48.500670Z""}"
label,"{""concept_id"": ""role_interactions"", ""signal_id"": ""sig_intensity_low"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""low"", ""description"": ""Quiet bonds/clashes; interactions color scenes but seldom alter outcomes."", ""detection_hint"": ""Subtle tension, light support; low public stakes."", ""false_positive_risks"": ""Flatness disguised as nuance."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Role Interactions.md"", ""source_md5"": ""f1a51e5106d3c16bc1d7ddb90d3b4f1d"", ""last_modified_iso"": ""2025-09-30T18:45:48.500670Z""}"
