table,data
label,"{""concept_id"": ""character_roles"", ""concept_name"": ""Character Roles"", ""type"": ""element"", ""definition"": ""The narrative jobs characters perform—hero, villain, mentor, sidekick, foil, confidant, catalyst, etc.—which organize conflict, alliances, growth, and theme."", ""scope_notes"": ""Roles are functional, flexible, and can overlap or shift. Measure the strength of a role by its impact on choices, stakes, and theme."", ""axes"": ""facet|strength"", ""axis_values"": ""function|flexibility|interaction|theme_link|strength_control | low|medium|high"", ""prerequisites"": """", ""pairs_well_with"": ""role_interactions|role_dynamics|identity|drive|motivation|decision_style|theme"", ""conflicts_with"": ""rigid_labels|single_role_only|personality_confusion|ignore_minor_roles|genre_exceptionalism"", ""positive_examples_ref"": ""ex_roles_*"", ""non_examples_ref"": ""ex_roles_weak_*"", ""source_file"": ""Character Roles.md"", ""source_md5"": ""e5b2fdff82f8049344e7fdb0d12bd3e4"", ""last_modified_iso"": ""2025-09-30T18:48:12.050646Z""}"
label,"{""concept_id"": ""character_roles"", ""signal_id"": ""sig_function"", ""signal_type"": ""textual_cue"", ""axis_value"": ""function"", ""description"": ""Clear function stated or enacted: who drives, who blocks, who guides, who contrasts, who catalyzes."", ""detection_hint"": ""Questions answered: What is this character for? What do they change?"", ""false_positive_risks"": ""Bio-style labels with no effect on plot or relationships."", ""minimal_example"": ""Mentor sets the test; foil frames a moral choice; villain blocks the need."", ""counterexample"": """", ""source_file"": ""Character Roles.md"", ""source_md5"": ""e5b2fdff82f8049344e7fdb0d12bd3e4"", ""last_modified_iso"": ""2025-09-30T18:48:12.050646Z""}"
label,"{""concept_id"": ""character_roles"", ""signal_id"": ""sig_flexibility"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""flexibility"", ""description"": ""Roles overlap or shift with seeds and cost (mentor→antagonist, sidekick→hero, villain→ally)."", ""detection_hint"": ""Pre-signals, hinge event, new behavior with consequences."", ""false_positive_risks"": ""Whiplash flips for novelty; cosmetic quirks only."", ""minimal_example"": ""Sidekick assumes the mission when the hero fails and pays a price."", ""counterexample"": """", ""source_file"": ""Character Roles.md"", ""source_md5"": ""e5b2fdff82f8049344e7fdb0d12bd3e4"", ""last_modified_iso"": ""2025-09-30T18:48:12.050646Z""}"
label,"{""concept_id"": ""character_roles"", ""signal_id"": ""sig_interaction"", ""signal_type"": ""textual_cue"", ""axis_value"": ""interaction"", ""description"": ""Role clashes/alliances create scene purpose and escalate stakes."", ""detection_hint"": ""Identify pairs/webs that alter decisions (hero–villain, hero–mentor, hero–foil)."", ""false_positive_risks"": ""Banter or conflict that changes nothing."", ""minimal_example"": ""Villain forces a bargain that stains the hero’s code; mentor refusal sharpens resolve."", ""counterexample"": """", ""source_file"": ""Character Roles.md"", ""source_md5"": ""e5b2fdff82f8049344e7fdb0d12bd3e4"", ""last_modified_iso"": ""2025-09-30T18:48:12.050646Z""}"
label,"{""concept_id"": ""character_roles"", ""signal_id"": ""sig_theme_link"", ""signal_type"": ""textual_cue"", ""axis_value"": ""theme_link"", ""description"": ""Role design embodies the theme (freedom vs control, pride vs humility, tradition vs change)."", ""detection_hint"": ""Moments where clashes carry the idea beyond plot mechanics."", ""false_positive_risks"": ""Action divorced from idea; theme statements without enactment."", ""minimal_example"": ""Hero/villain clash dramatizes the core value divide."", ""counterexample"": """", ""source_file"": ""Character Roles.md"", ""source_md5"": ""e5b2fdff82f8049344e7fdb0d12bd3e4"", ""last_modified_iso"": ""2025-09-30T18:48:12.050646Z""}"
label,"{""concept_id"": ""character_roles"", ""signal_id"": ""sig_strength_control"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""strength_control"", ""description"": ""Strength tuned via stakes, publicness, and consequence to calibrate impact."", ""detection_hint"": ""Raise by personalizing threat or cost; lower by limiting presence/scope."", ""false_positive_risks"": ""Giving equal spotlight regardless of function."", ""minimal_example"": ""Mentor’s advice triggers a costly choice; sidekick gets agency in a pinch."", ""counterexample"": """", ""source_file"": ""Character Roles.md"", ""source_md5"": ""e5b2fdff82f8049344e7fdb0d12bd3e4"", ""last_modified_iso"": ""2025-09-30T18:48:12.050646Z""}"
label,"{""concept_id"": ""character_roles"", ""signal_id"": ""sig_strength_low"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""low"", ""description"": ""Minor presence; clear function but small impact; brief test/support moments."", ""detection_hint"": ""One beat gatekeeper/confidant; limited stakes and visibility."", ""false_positive_risks"": ""Flat cameo with no function."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Roles.md"", ""source_md5"": ""e5b2fdff82f8049344e7fdb0d12bd3e4"", ""last_modified_iso"": ""2025-09-30T18:48:12.050646Z""}"
label,"{""concept_id"": ""character_roles"", ""signal_id"": ""sig_strength_med"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""medium"", ""description"": ""Ongoing influence on choices and relationships; reversible consequences."", ""detection_hint"": ""Recurring support/contrast; subplots shaped; some cost."", ""false_positive_risks"": ""Busy scenes without effect."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Roles.md"", ""source_md5"": ""e5b2fdff82f8049344e7fdb0d12bd3e4"", ""last_modified_iso"": ""2025-09-30T18:48:12.050646Z""}"
label,"{""concept_id"": ""character_roles"", ""signal_id"": ""sig_strength_high"", ""signal_type"": ""outcome_change"", ""axis_value"": ""high"", ""description"": ""Major driver of plot/theme; public, costly, irreversible consequences."", ""detection_hint"": ""Hero/villain/mentor roles dominate turning points; role shifts stick."", ""false_positive_risks"": ""Spectacle with next-scene reset."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character Roles.md"", ""source_md5"": ""e5b2fdff82f8049344e7fdb0d12bd3e4"", ""last_modified_iso"": ""2025-09-30T18:48:12.050646Z""}"
label,"{""concept_id"": ""character_roles"", ""misconception_id"": ""rigid_labels"", ""description"": ""Treating roles as fixed stereotypes instead of functions that can evolve."", ""tells"": ""Static hero/villain with no nuance or cost."", ""likely_causes"": ""Over-reliance on tropes."", ""corrective_feedback"": ""Seed overlap/shifts with consequence."", ""micro_drill"": ""Plan 1 role shift with pre-signal + hinge + cost."", ""source_file"": ""Character Roles.md"", ""source_md5"": ""e5b2fdff82f8049344e7fdb0d12bd3e4"", ""last_modified_iso"": ""2025-09-30T18:48:12.050646Z""}"
