table,data
label,"{""concept_id"": ""decision_style"", ""concept_name"": ""Decision Style"", ""type"": ""element"", ""definition"": ""A character’s characteristic way of choosing—speed, basis, risk, confidence, consistency, and influence—made visible at decision points."", ""scope_notes"": ""Surfaced via declaration, habit, struggle, and consequences; potency dials from low→medium→high within and across scenes."", ""axes"": ""dimension|potency"", ""axis_values"": ""speed|basis|risk_tolerance|confidence|consistency|external_influence | low|medium|high"", ""prerequisites"": """", ""pairs_well_with"": ""beats|tension|backstory|body_logic|theme"", ""conflicts_with"": ""plot_puppetry|inconsistency|no_consequence|style_reset"", ""positive_examples_ref"": ""ex_decision_style_*"", ""non_examples_ref"": ""ex_decision_style_weak_*"", ""source_file"": ""Character decision style.md"", ""source_md5"": ""ec383acc15fcf34b7b50fc4555bcef48"", ""last_modified_iso"": ""2025-09-30T18:21:47.048565Z""}"
label,"{""concept_id"": ""decision_style"", ""signal_id"": ""sig_declare"", ""signal_type"": ""textual_cue"", ""axis_value"": """", ""description"": ""Character explicitly states or is stated to have a decision style."", ""detection_hint"": ""Self/other/narrator declares tendencies or rules of choice."", ""false_positive_risks"": ""Treating boasts as truth when behavior contradicts."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character decision style.md"", ""source_md5"": ""ec383acc15fcf34b7b50fc4555bcef48"", ""last_modified_iso"": ""2025-09-30T18:21:47.048565Z""}"
label,"{""concept_id"": ""decision_style"", ""signal_id"": ""sig_habit"", ""signal_type"": ""textual_cue"", ""axis_value"": """", ""description"": ""Patterned behaviors reveal style (rituals, repeated moves, stock phrases)."", ""detection_hint"": ""Pros/cons lists, coin flips, instant launches, routinized avoidance."", ""false_positive_risks"": ""One-off ticks mistaken for pattern."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character decision style.md"", ""source_md5"": ""ec383acc15fcf34b7b50fc4555bcef48"", ""last_modified_iso"": ""2025-09-30T18:21:47.048565Z""}"
label,"{""concept_id"": ""decision_style"", ""signal_id"": ""sig_struggle"", ""signal_type"": ""textual_cue"", ""axis_value"": """", ""description"": ""Visible inner conflict before/after choices shows style under pressure."", ""detection_hint"": ""Hesitation, reversals, conflicting dialogue, physical stress cues."", ""false_positive_risks"": ""Melodramatic dithering without stakes."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character decision style.md"", ""source_md5"": ""ec383acc15fcf34b7b50fc4555bcef48"", ""last_modified_iso"": ""2025-09-30T18:21:47.048565Z""}"
label,"{""concept_id"": ""decision_style"", ""signal_id"": ""sig_consequence"", ""signal_type"": ""outcome_change"", ""axis_value"": """", ""description"": ""Fallout chains display style through accountability, learning, or doubling down."", ""detection_hint"": ""Track immediate + long-term effects; public/private handling."", ""false_positive_risks"": ""Resets with no memory of prior choices."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character decision style.md"", ""source_md5"": ""ec383acc15fcf34b7b50fc4555bcef48"", ""last_modified_iso"": ""2025-09-30T18:21:47.048565Z""}"
label,"{""concept_id"": ""decision_style"", ""signal_id"": ""sig_speed"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""speed"", ""description"": ""How fast decisions occur (impulsive↔deliberative)."", ""detection_hint"": ""Look for time-to-commit; interruptions tolerated or cut off."", ""false_positive_risks"": ""Scene time manipulation can mask speed."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character decision style.md"", ""source_md5"": ""ec383acc15fcf34b7b50fc4555bcef48"", ""last_modified_iso"": ""2025-09-30T18:21:47.048565Z""}"
label,"{""concept_id"": ""decision_style"", ""signal_id"": ""sig_basis"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""basis"", ""description"": ""Primary basis (emotion|logic|intuition|rules|social)."", ""detection_hint"": ""Quoted reasons, rationale patterns, mantra phrases."", ""false_positive_risks"": ""Stated basis vs actual behavior may diverge."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character decision style.md"", ""source_md5"": ""ec383acc15fcf34b7b50fc4555bcef48"", ""last_modified_iso"": ""2025-09-30T18:21:47.048565Z""}"
label,"{""concept_id"": ""decision_style"", ""signal_id"": ""sig_risk"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""risk_tolerance"", ""description"": ""Risk appetite (reckless|balanced|cautious)."", ""detection_hint"": ""Track stakes accepted vs avoided; sunk-cost doubling."", ""false_positive_risks"": ""Context-dependent risk can flip by domain."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character decision style.md"", ""source_md5"": ""ec383acc15fcf34b7b50fc4555bcef48"", ""last_modified_iso"": ""2025-09-30T18:21:47.048565Z""}"
label,"{""concept_id"": ""decision_style"", ""signal_id"": ""sig_confidence"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""confidence"", ""description"": ""Certainty posture (bold|wavering)."", ""detection_hint"": ""Hedges, ultimatums, vows, escalation patterns."", ""false_positive_risks"": ""False bravado or masking humility."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character decision style.md"", ""source_md5"": ""ec383acc15fcf34b7b50fc4555bcef48"", ""last_modified_iso"": ""2025-09-30T18:21:47.048565Z""}"
label,"{""concept_id"": ""decision_style"", ""signal_id"": ""sig_consistency"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""consistency"", ""description"": ""Style stability over time or by trigger."", ""detection_hint"": ""Find repeating motifs; note growth arcs."", ""false_positive_risks"": ""Randomness from plot forcing = puppetry."", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Character decision style.md"", ""source_md5"": ""ec383acc15fcf34b7b50fc4555bcef48"", ""last_modified_iso"": ""2025-09-30T18:21:47.048565Z""}"
